clash_group_id,clash_id,bim360_account_id,bim360_project_id
22b2f247-9727-46e9-a010-858ebb5a9501,1507599942355256,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,2343304710844681,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,2611468034948826,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,2960161751577706,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,4226842887436338,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,4423050248836318,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,5142437799965223,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,5858338399260490,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,6191096197210790,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,6534296981021895,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,6633743470259643,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,6665308723607974,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,6906841812622947,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,7757333154090022,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
22b2f247-9727-46e9-a010-858ebb5a9501,8879970255364039,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
edec49b5-e2b6-4e74-a0a4-81cec5f47ca7,8194182687064525,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
