issue_id,bim360_account_id,bim360_project_id,mapped_item_type,attribute_mapping_id,attribute_title,attribute_description,attribute_data_type,is_required,attribute_value
25bb12e2-5b8d-457d-a503-f2bf097580ac,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,d1cb56de-c082-405c-b5bf-82a4f2969cea,AI Created,Has this issue been created by an AI tool.,list,f,
70c6c25a-4e78-4bed-a64a-00eab9dd52c5,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,d1cb56de-c082-405c-b5bf-82a4f2969cea,AI Created,Has this issue been created by an AI tool.,list,f,
a5422672-3995-4ff1-a207-6d8eff0d3efe,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,d1cb56de-c082-405c-b5bf-82a4f2969cea,AI Created,Has this issue been created by an AI tool.,list,f,
a7656ea1-15f8-4221-8faf-212983ba12ea,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,d1cb56de-c082-405c-b5bf-82a4f2969cea,AI Created,Has this issue been created by an AI tool.,list,f,
7bcf0a8a-a834-4163-9a06-c3d5cf5df79f,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,d1cb56de-c082-405c-b5bf-82a4f2969cea,AI Created,Has this issue been created by an AI tool.,list,f,
7f94798b-083a-4d1d-b876-02df4f1cdd46,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,d1cb56de-c082-405c-b5bf-82a4f2969cea,AI Created,Has this issue been created by an AI tool.,list,f,
26de3213-1291-452c-880e-4e08d2a23668,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,d1cb56de-c082-405c-b5bf-82a4f2969cea,AI Created,Has this issue been created by an AI tool.,list,f,
8f8cc733-6776-4280-9f37-8716ae1c3a1f,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,d1cb56de-c082-405c-b5bf-82a4f2969cea,AI Created,Has this issue been created by an AI tool.,list,f,
81b9960f-e333-4723-948c-9321f2a1b1ae,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
5dc60a41-7122-451e-872c-c97491b1d7d0,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
bd629f5e-9c6f-4b62-ad9e-3004824cd5de,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
6cf86259-16f1-4f08-98b4-7bbe3b8e2d10,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
766182e8-ed48-408d-85f2-09e736203ba1,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
d8aeec93-662e-4dd9-a0f2-d86b4c8c5ede,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
5f4e4168-27d9-4fea-b124-b2a73c16dfb3,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
6da9d57e-cf3a-4625-9d22-37375070664f,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
a8555bd0-b558-4d64-af23-1dc9ab14b3af,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
b37ce0a7-03a6-412b-afd0-7f7e12daae17,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
de308db0-f347-475a-8ae0-4ccd4199511b,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
f5867b4d-6a8a-4546-a875-deba7ee136a5,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
fddc8b53-56da-4f96-8261-6b51d21ae1f9,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
f834ad3d-5f9c-4697-858b-80b627bd44eb,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
847a6ad8-d6d2-4284-b9b7-559f43a26fe5,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
7e5c4fc0-4ec9-4e01-96c0-435c80972ce8,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
96e8a5d8-e315-4019-ba63-f1800c515d50,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
b0cc7429-6ab6-4db8-9177-ae30763c0571,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
27615d6c-1ca9-4fa8-b804-28d2162977f0,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
eb707cd7-88b3-4d83-8053-15d5a85cd328,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
1bb53d6c-b7a2-45dd-a318-f314a0d4026a,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
53a4ffef-03af-424c-8ed0-224658043e2f,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
bd4fc105-50d6-4081-9c1c-b5a60282b24b,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
1d08c014-45bc-4683-9d1c-397cb66389f1,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,issueSubtype,052bf9e5-f73f-4726-baa0-153a834737d1,AI Created,Has this issue been created by an AI tool.,list,f,
