placement_id,bim360_account_id,bim360_project_id,issue_id,file_version,file_version_urn,guid,name,viewable_id,is_3d,created_at,updated_at,deleted_at
b842e008-5f6f-4304-8ef4-cf5e451eeefb,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,6cf86259-16f1-4f08-98b4-7bbe3b8e2d10,4,,250a6ce5-ee70-fdca-bfc9-4111f54e9baa,{3D},44745acb-ebea-4fb9-a091-88d28bd746c7-000ea86d,t,2023-10-04 06:30:59.147,2023-10-04 06:30:59.147,
c923da89-b9a3-4639-a1b7-15b2269d2f52,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,2f2fc5f8-3377-4b85-8c82-adb40de40c51,1,,6d6ee121-36ce-cc80-19eb-1bd5ff0085fa,{3D},,t,2023-10-09 03:34:28.36,2023-10-09 03:34:28.36,
52646d1e-94c0-4645-abd4-4cfdae9350fc,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,27615d6c-1ca9-4fa8-b804-28d2162977f0,1,,6d6ee121-36ce-cc80-19eb-1bd5ff0085fa,{3D},,t,2023-10-09 03:39:33.978,2023-10-09 03:39:33.978,
64ced1c7-98c0-4148-acd9-3a9105fc78a7,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,eb707cd7-88b3-4d83-8053-15d5a85cd328,1,,505917d5-31be-41b4-bed7-c50d88f9b35f-00163b84,S101 - Framing Plans,505917d5-31be-41b4-bed7-c50d88f9b35f-00163b84,f,2023-10-11 01:26:35.296,2023-10-11 01:26:35.296,
629d67af-2198-43df-b83b-1cb3dbc9c0ae,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,775820a1-44b1-4655-a6a5-f56d41682d3b,1,,4f52c388-eeb6-42cf-8775-8fd5cb925832,(1),1,f,2024-07-25 07:59:18.128,2024-07-25 07:59:18.128,
9f624b42-ea21-42be-94b4-d6e0720d4135,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,7f94798b-083a-4d1d-b876-02df4f1cdd46,2,,efe3efc4-ed47-eab0-2e55-06a025e12c54,{3D},61570635-21bc-44a7-8ddf-22c33328e4ef-00017a36,t,2024-07-26 03:09:54.83,2024-07-26 03:09:54.83,
f3154dd6-5a87-4a68-8fd4-517a80eae06d,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,04e4ab7c-308d-4ffd-ae9a-e3058807e791,4,,250a6ce5-ee70-fdca-bfc9-4111f54e9baa,{3D},44745acb-ebea-4fb9-a091-88d28bd746c7-000ea86d,t,2025-06-29 12:01:01.69,2025-06-29 12:01:01.69,
e1e9d342-9fb9-4cbe-8ee8-fa19a5a7fa91,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,7bcf0a8a-a834-4163-9a06-c3d5cf5df79f,4,,250a6ce5-ee70-fdca-bfc9-4111f54e9baa,{3D},44745acb-ebea-4fb9-a091-88d28bd746c7-000ea86d,t,2025-10-10 01:55:51.833,2025-10-10 01:55:51.833,
58c865d0-aeba-4c31-be71-192ffb998037,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,70c6c25a-4e78-4bed-a64a-00eab9dd52c5,2,,0e6a8570-d79f-56e6-bb5c-33b4832de942,(1),1,f,2025-12-31 09:06:13.622,2025-12-31 09:06:13.622,
eb7845e0-8711-44c0-9036-e4d6568eef67,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,a5422672-3995-4ff1-a207-6d8eff0d3efe,2,,0e6a8570-d79f-56e6-bb5c-33b4832de942,(1),1,f,2025-12-31 09:12:58.411,2025-12-31 09:12:58.411,
f67a7131-28f1-4641-bb4a-c566db8f2589,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,7e5c4fc0-4ec9-4e01-96c0-435c80972ce8,4,,250a6ce5-ee70-fdca-bfc9-4111f54e9baa,{3D},44745acb-ebea-4fb9-a091-88d28bd746c7-000ea86d,t,2025-01-21 04:06:35.798,2025-01-21 04:06:35.798,
ca4a627e-baa6-4b29-86d6-33b3d48ce593,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,526a3993-24ca-498f-ab92-23a3f5d01a38,4,,250a6ce5-ee70-fdca-bfc9-4111f54e9baa,{3D},44745acb-ebea-4fb9-a091-88d28bd746c7-000ea86d,t,2025-06-29 10:10:54.347,2025-06-29 10:10:54.347,
b9b5d11c-656a-4495-90a3-2357ab6ce60a,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,cb740bd2-dafc-4492-a7f9-b3eeaa8f652c,4,,250a6ce5-ee70-fdca-bfc9-4111f54e9baa,{3D},44745acb-ebea-4fb9-a091-88d28bd746c7-000ea86d,t,2025-06-29 10:11:39.196,2025-06-29 10:11:39.196,
ebda6fea-66d3-40fe-92bd-a7f220db01b9,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,adc8af62-e8a3-4d18-bddf-c087f470c803,4,,250a6ce5-ee70-fdca-bfc9-4111f54e9baa,{3D},44745acb-ebea-4fb9-a091-88d28bd746c7-000ea86d,t,2025-07-14 05:01:43.738,2025-07-14 05:01:43.738,
b86442f2-993b-4ac7-a794-114e4721c5c1,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,a7656ea1-15f8-4221-8faf-212983ba12ea,1,,6d6ee121-36ce-cc80-19eb-1bd5ff0085fa,{3D},0b04bea8-5792-464d-9ded-8b1577a44d9c-001631ac,t,2025-10-09 05:06:47.457,2025-10-09 05:06:47.457,
026e444e-fe30-4304-a3d0-5bf70102948a,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,db07c005-7c50-4897-9423-a5c03241c138,2,,6d6ee121-36ce-cc80-19eb-1bd5ff0085fa,{3D},0b04bea8-5792-464d-9ded-8b1577a44d9c-001631ac,t,2024-12-04 08:07:03.564,2024-12-04 08:07:03.564,
80898563-6052-4ae9-b30b-c00953ac5d28,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,00a8373c-8c20-4fc6-99f2-a43edd499b9d,1,,250a6ce5-ee70-fdca-bfc9-4111f54e9baa,{3D},44745acb-ebea-4fb9-a091-88d28bd746c7-000ea86d,t,2025-05-09 05:12:59.8,2025-05-09 05:12:59.8,
