bim360_project_id,bim360_account_id,user_id,product_key,access_level,created_at
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,17cbf5f3-2c27-476d-b45d-a0600d70eef7,insight,project_admin,2025-04-03 07:27:10.774
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,17cbf5f3-2c27-476d-b45d-a0600d70eef7,cost,project_admin,2025-04-03 07:27:10.774
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,17cbf5f3-2c27-476d-b45d-a0600d70eef7,designCollaboration,project_admin,2025-04-03 07:27:10.774
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,17cbf5f3-2c27-476d-b45d-a0600d70eef7,modelCoordination,project_admin,2025-04-03 07:27:10.774
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,17cbf5f3-2c27-476d-b45d-a0600d70eef7,takeoff,project_admin,2025-04-03 07:27:10.774
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,17cbf5f3-2c27-476d-b45d-a0600d70eef7,autoSpecs,project_admin,2025-04-03 07:27:10.774
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,17cbf5f3-2c27-476d-b45d-a0600d70eef7,build,project_admin,2025-04-03 07:27:10.774
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,17cbf5f3-2c27-476d-b45d-a0600d70eef7,docs,project_admin,2025-04-03 07:27:10.774
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,183aeaa6-2336-4646-b4a7-7548e39b30f7,autoSpecs,project_admin,2024-07-23 02:38:25.854
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,183aeaa6-2336-4646-b4a7-7548e39b30f7,insight,project_admin,2022-08-24 05:57:41.663
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,183aeaa6-2336-4646-b4a7-7548e39b30f7,modelCoordination,project_admin,2022-08-24 05:57:47.952
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,183aeaa6-2336-4646-b4a7-7548e39b30f7,takeoff,project_admin,2022-08-24 05:57:48.649
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,183aeaa6-2336-4646-b4a7-7548e39b30f7,docs,project_admin,2022-08-24 05:57:41.66
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,183aeaa6-2336-4646-b4a7-7548e39b30f7,build,project_admin,2022-08-24 05:57:42.411
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,183aeaa6-2336-4646-b4a7-7548e39b30f7,cost,project_admin,2022-08-24 05:57:45.346
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,183aeaa6-2336-4646-b4a7-7548e39b30f7,designCollaboration,project_admin,2022-08-24 05:57:46.861
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,a7f28d6e-9093-4165-a8b9-29170767bd94,docs,project_admin,2025-07-25 02:39:33.603
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,a7f28d6e-9093-4165-a8b9-29170767bd94,designCollaboration,project_admin,2025-07-25 02:39:33.603
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,a7f28d6e-9093-4165-a8b9-29170767bd94,modelCoordination,project_admin,2025-07-25 02:39:33.603
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,a7f28d6e-9093-4165-a8b9-29170767bd94,takeoff,project_admin,2025-07-25 02:39:33.603
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,a7f28d6e-9093-4165-a8b9-29170767bd94,autoSpecs,project_admin,2025-07-25 02:39:33.603
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,a7f28d6e-9093-4165-a8b9-29170767bd94,build,project_admin,2025-07-25 02:39:33.603
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,a7f28d6e-9093-4165-a8b9-29170767bd94,cost,project_admin,2025-07-25 02:39:33.603
af8b83a7-47eb-4049-9275-c86b659a4b79,60844ec8-1755-47a1-a106-1cc9a6c26e18,a7f28d6e-9093-4165-a8b9-29170767bd94,insight,project_admin,2025-07-25 02:39:33.603
