asset_id,custom_attribute_id,value_boolean,value_string,bim360_account_id,bim360_project_id
20c5ae5a-3909-4a87-82f1-1aaab8303743,b8a1e464-e572-4717-8d55-5d754fac1271,,	198749,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
3ea0c89b-09ff-4d8f-a274-a629aa878c1c,b8a1e464-e572-4717-8d55-5d754fac1271,,	418079,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
63add636-d329-44d4-b1e3-5c496ab6d430,b8a1e464-e572-4717-8d55-5d754fac1271,,	422243,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
17770098-8eb2-4f9d-86e9-b20e30331594,b8a1e464-e572-4717-8d55-5d754fac1271,,	424922,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
3dce01df-46af-4689-8ab0-ecaa7e6bc925,b8a1e464-e572-4717-8d55-5d754fac1271,,	425745,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
bec0fa91-592f-46f0-8949-b7ea1899640e,b8a1e464-e572-4717-8d55-5d754fac1271,,	427092,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
09fb62bb-c9a2-464d-a471-69f9dd893817,b8a1e464-e572-4717-8d55-5d754fac1271,,	493612,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
e2cb83a9-4499-4a20-8a8d-d1feeabf6fb6,b8a1e464-e572-4717-8d55-5d754fac1271,,	493697,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
d2f08c36-999d-4d5a-8d5f-dac7b728f60a,b8a1e464-e572-4717-8d55-5d754fac1271,,	493790,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
f1b07825-daac-4986-aa59-fdcd38a84914,b8a1e464-e572-4717-8d55-5d754fac1271,,	493879,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
976913c2-766e-49da-b33f-97ccc0f649f6,b8a1e464-e572-4717-8d55-5d754fac1271,,	627064,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
74adef17-d0de-44df-8ee8-4e5e87e6e3b3,b8a1e464-e572-4717-8d55-5d754fac1271,,	627729,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
31c31abe-b03a-4d13-b36c-d1255303ee56,b8a1e464-e572-4717-8d55-5d754fac1271,,	628523,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
34176e04-9cd8-41a8-8cad-7b5c7664ddd7,b8a1e464-e572-4717-8d55-5d754fac1271,,	845266,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
b2fd5156-dc02-4039-98d0-1c2c442fd010,b8a1e464-e572-4717-8d55-5d754fac1271,,	849032,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
3fc31cb1-8125-408d-b28e-c905937cec69,b8a1e464-e572-4717-8d55-5d754fac1271,,	906885,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
33271a31-d10c-4adb-a78a-a6e177b412f7,b8a1e464-e572-4717-8d55-5d754fac1271,,	977133,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
5e11b82f-18e5-4e2b-a136-b059b714fa1d,b8a1e464-e572-4717-8d55-5d754fac1271,,	655533,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
d249ea71-81fc-41b2-806c-6d8f69684392,b8a1e464-e572-4717-8d55-5d754fac1271,,	198694,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
17c8e009-bd9d-4dad-999b-f7cf95e79092,b8a1e464-e572-4717-8d55-5d754fac1271,,	234869,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
ef3ceb2a-bfbc-4554-9820-c5c6ce4ed2fe,b8a1e464-e572-4717-8d55-5d754fac1271,,	428588,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
09226551-d40f-4b46-a9d8-81c9235dc162,b8a1e464-e572-4717-8d55-5d754fac1271,,	428745,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
f912e0ab-e741-4512-b2e9-989e62cac976,b8a1e464-e572-4717-8d55-5d754fac1271,,	429964,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
bfe9cae5-6169-432c-8280-93da979cc858,b8a1e464-e572-4717-8d55-5d754fac1271,,	430064,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
c422e45f-3971-4978-8c92-87c90088aeaa,b8a1e464-e572-4717-8d55-5d754fac1271,,	430318,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
8b9601bc-3fcb-4377-8f2c-3163e1f98eed,b8a1e464-e572-4717-8d55-5d754fac1271,,	430361,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
ae8df33d-9351-47ab-a3a1-0c43f82ece16,b8a1e464-e572-4717-8d55-5d754fac1271,,	430412,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
2e979c75-5b3b-48e0-90b0-8d7ee5da3b5e,b8a1e464-e572-4717-8d55-5d754fac1271,,	430859,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
35608a4b-bafd-4141-a94b-bfb80a3ffd90,b8a1e464-e572-4717-8d55-5d754fac1271,,	497540,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
e26a2df0-3b5a-4c72-911f-c5c21e15287a,b8a1e464-e572-4717-8d55-5d754fac1271,,	506386,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
a524ed9d-334a-4800-8d50-74c1492708ec,b8a1e464-e572-4717-8d55-5d754fac1271,,	506797,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
74a3e873-5ed9-46da-9610-19abe82b3fc7,b8a1e464-e572-4717-8d55-5d754fac1271,,	530178,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
57cf9cef-f3d1-4aba-a36b-d4ddb1a6c7ff,b8a1e464-e572-4717-8d55-5d754fac1271,,	599841,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
6c943c27-a7bd-400b-946e-18481494d16b,b8a1e464-e572-4717-8d55-5d754fac1271,,	599906,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
52929dff-0474-4178-8298-c360693ccdf0,b8a1e464-e572-4717-8d55-5d754fac1271,,	599951,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
ecfa935f-2caf-449c-bf2a-5c7519a585f4,b8a1e464-e572-4717-8d55-5d754fac1271,,	745997,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
72616d40-5198-45c3-9314-03357e95c4a6,b8a1e464-e572-4717-8d55-5d754fac1271,,	746235,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
2d4d19e8-0027-493b-b976-fc377455d134,b8a1e464-e572-4717-8d55-5d754fac1271,,	746589,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
4c178c5f-d2b3-40f0-b9f3-f01506a72c3b,b8a1e464-e572-4717-8d55-5d754fac1271,,	746634,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
ac743d04-b899-41ab-917c-2218642605df,b8a1e464-e572-4717-8d55-5d754fac1271,,	746766,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
9d8329b8-0aa0-404e-a785-8e3fddb87b79,b8a1e464-e572-4717-8d55-5d754fac1271,,	765523,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
c419a4f0-08b6-499a-be98-1f355c429999,b8a1e464-e572-4717-8d55-5d754fac1271,,	765620,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
6a556085-fe22-46c0-a2f4-f1be32603ef3,b8a1e464-e572-4717-8d55-5d754fac1271,,	768442,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
902eb84d-76e5-4c4b-b833-2046675a402f,b8a1e464-e572-4717-8d55-5d754fac1271,,	937935,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
813e04a9-4eca-4989-9f6f-64adf769dd0f,b8a1e464-e572-4717-8d55-5d754fac1271,,	938974,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
d665672c-630c-49e7-8c7f-d3edd9246b42,b8a1e464-e572-4717-8d55-5d754fac1271,,	939084,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
cb8d6ba8-9f93-41d4-90ea-4e913b954e89,b8a1e464-e572-4717-8d55-5d754fac1271,,	976752,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
8f88716f-5dc9-4eb4-ad85-cf4017f396aa,b8a1e464-e572-4717-8d55-5d754fac1271,,CH-01,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
8f88716f-5dc9-4eb4-ad85-cf4017f396aa,cc0e0b29-aac4-4522-80a9-a3696ee4e0e3,,Level 1,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
30ba0667-a36f-4ef3-b403-97bd39c1d4a9,b8a1e464-e572-4717-8d55-5d754fac1271,,CH-01,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
30ba0667-a36f-4ef3-b403-97bd39c1d4a9,cc0e0b29-aac4-4522-80a9-a3696ee4e0e3,,Level 1,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79
