uid,layout_uid,bim360_account_id,bim360_project_id,sort_index,label,description,form_section_id,assignee_id,assignee_type,display_index
e31c04dd-f6b3-4e46-abb0-61f1f0c171c2,0cf4b681-030b-4f21-9e41-2ba530972a22,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Concrete,"",09cb440c-dfe7-480c-9bba-b82c322f5743,,,1
8dd263e1-9343-4a4c-bb06-7589de148b57,14205b94-0ec9-450a-911e-de38aea4ba5e,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Concrete,"",09cb440c-dfe7-480c-9bba-b82c322f5743,,,1
38e50ff9-080b-4943-8335-978c0331f737,1c938581-9bf2-4a0f-ba6b-227c4a58c24d,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Docket Information,"",483a18e6-801e-4138-8b67-4b63c08452b0,,,1
ea4fe4c7-70da-4f52-b30c-e41eeaebf8cd,37fdfdae-a923-4a9b-9871-8311314a732f,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Docket Information,"",483a18e6-801e-4138-8b67-4b63c08452b0,,,1
33183ddf-8f7b-47fc-b936-a92016f65b7c,44694dda-3c54-495f-8269-8cdda40a76e5,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Placeholder title,"",483a18e6-801e-4138-8b67-4b63c08452b0,,,1
7b18dab9-e103-4e58-8cdd-6e3a19806b8f,95809fd0-2dda-4074-a278-48c012b3b675,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Placeholder title,"",3d72abcb-7051-4887-9642-aa2cd5cc3259,,,1
5b35e785-4798-4e33-afa5-ab4242165a9f,9a031ff3-94c3-418e-93b7-ab64d6d30953,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Inspection,Concrete,0f98edac-1ec0-4c81-8a05-4e11dd248b75,,,1
d375d8b9-a688-4385-ad44-4bb13b623fb4,ae8ebc0a-442b-479b-a23b-fe4fbc7f8cc2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Docket Information,"",483a18e6-801e-4138-8b67-4b63c08452b0,,,1
dc9d2556-9afc-4820-be2a-a366ddecd5fa,d8fffe65-44a2-4900-870b-3aca92216b1b,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Work Log,,,,,1
88fd9d65-3e95-4306-9b1d-6d5d78c8cc02,d8fffe65-44a2-4900-870b-3aca92216b1b,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,1,Materials,,,,,2
ca6b7ce5-ce19-4aeb-a6ed-231f10f5fa4d,d8fffe65-44a2-4900-870b-3aca92216b1b,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,2,Equipment,,,,,3
7239f648-aa1b-4ac6-9d31-4cf5a31af3c4,d8fffe65-44a2-4900-870b-3aca92216b1b,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,3,Signature,,,,,4
d3bd28b9-3126-423b-ac0e-39f8d8461a99,dd69430a-4807-4e80-bf46-8e530e790d56,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Placeholder title,"",483a18e6-801e-4138-8b67-4b63c08452b0,,,1
ea3c4435-9d9b-4eee-bb03-97d246665d2c,e6153bdb-d413-4307-8dd1-9f5c1d943ca0,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Docket Information,"",483a18e6-801e-4138-8b67-4b63c08452b0,,,1
75cf1b97-ec15-4be6-bd78-2581dc5b56c6,e61d5dfb-246a-44c7-a118-2f692f31f619,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Docket Information,"",483a18e6-801e-4138-8b67-4b63c08452b0,,,1
6508426b-ef40-4e82-ab09-86c3b1d29648,fac5628c-18b0-4327-891d-46594added58,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,0,Placeholder title,Concrete,0f98edac-1ec0-4c81-8a05-4e11dd248b75,,,1
