id,bim360_account_id,bim360_project_id,rfi_id,from_status,to_status,created_at,created_by
5773611c-6937-46a1-9873-f5a1aa8fadd0,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,53bab9c3-4458-4e38-84b5-1735ea92d546,,draft,2024-07-19 01:32:49.292,7VZ2Q8PTMR3E7H96
7044e4b2-55fa-4c11-8300-f64c875ab3ac,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,001c0fdf-cc11-4687-bfa9-f716c4b74821,,open,2024-11-30 11:27:16.037,7VZ2Q8PTMR3E7H96
36273a91-56d8-4e06-8745-ec7edda60ed0,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,4d9a66b8-08e7-4b0f-bf78-ce4e8ae9f7ad,,open,2024-11-30 11:28:07.52,7VZ2Q8PTMR3E7H96
0985fc3c-fa90-47d8-91ba-3c19dd0efecc,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,6410951d-ed87-48cb-b18a-684982110087,,draft,2025-01-17 05:45:22.116,7VZ2Q8PTMR3E7H96
e9f703b8-1ea4-4c69-8190-a38c07c44a25,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,10b4ec58-1279-4886-a184-830d12c20eba,,draft,2025-01-17 05:54:52.361,7VZ2Q8PTMR3E7H96
6e1bd29a-8ad8-41c5-a728-c40ee52c94b0,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,f7e70b90-583b-494e-857f-4fd2b2e97041,,open,2025-10-10 06:40:31.375,7VZ2Q8PTMR3E7H96
c15084f2-1898-4711-a487-7c72b1d47476,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,53bab9c3-4458-4e38-84b5-1735ea92d546,draft,open,2024-08-15 01:51:03.479,7VZ2Q8PTMR3E7H96
91047ce1-898e-4d7f-8001-50791b5d7a55,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,9585e512-3584-4ebd-a12c-4e8c01d76e54,,open,2025-01-21 04:10:51.413,7VZ2Q8PTMR3E7H96
aed59618-0f62-4bf5-8bad-86a37beb17f9,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,9585e512-3584-4ebd-a12c-4e8c01d76e54,open,answered,2025-01-21 04:12:09.164,7VZ2Q8PTMR3E7H96
a9ce72ad-c4cb-4f9a-8177-b68c389b045f,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,9585e512-3584-4ebd-a12c-4e8c01d76e54,answered,closed,2025-01-21 04:19:36.463,7VZ2Q8PTMR3E7H96
8b4b29fa-66fa-4cf4-bde4-12a9f9a0efe2,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,6410951d-ed87-48cb-b18a-684982110087,draft,open,2025-05-29 04:25:39.523,7VZ2Q8PTMR3E7H96
